Timestamp (s),lon,lat,GSR Value,Distance (cm)
326,-0.009428854,51.53212778,249,337.66
327,-0.009490827,51.53208553,260,390.62
328,-0.009543462,51.53204474,243,306.45
329,-0.00961223,51.53199723,245,302.67
330,-0.009679267,51.5319528,256,394.44
331,-0.009736501,51.53191905,260,388.33
332,-0.009794261,51.53189183,249,318.08
333,-0.009847188,51.53186041,254,362.18
334,-0.009903631,51.53181782,238,265.07
335,-0.009940677,51.53177571,254,392.82
336,-0.009978358,51.53173694,245,307.94
337,-0.010057427,51.5317494,247,322.08
338,-0.010100966,51.53178794,240,292.71
339,-0.010182504,51.53181106,255,385.16
340,-0.010261639,51.53182038,253,364.84
341,-0.010338814,51.53179285,236,268.47
342,-0.010401349,51.53175324,234,271.09
343,-0.010461482,51.53171656,249,310.07
344,-0.010514408,51.53168152,241,268.27
345,-0.010580852,51.53165505,260,351.95
346,-0.010656589,51.53164922,260,369.11
347,-0.010723329,51.53168118,258,359.17
348,-0.010771385,51.53171776,260,387.97
349,-0.010824061,51.53175909,197,13.37
350,-0.010854429,51.53180724,241,274.32
351,-0.010892879,51.5318468,248,287.05
352,-0.010934041,51.53188665,260,396.11
353,-0.010985264,51.53193992,245,276.76
354,-0.011018162,51.53198146,243,293.8
355,-0.011042071,51.5320277,253,320.67
356,-0.011082996,51.53207156,260,358.74
357,-0.011112998,51.53211247,249,313.05
358,-0.011141322,51.53215846,258,382.32
359,-0.011179368,51.5321974,242,289.76
360,-0.011209112,51.5322392,260,360.41
361,-0.011251969,51.53227855,247,274.9
362,-0.011292315,51.53232098,252,323.69
363,-0.01133208,51.53235896,243,257.68
364,-0.011391929,51.53240144,260,399.05
365,-0.011441499,51.53244464,259,352.63
366,-0.011472603,51.53248954,250,315.03
367,-0.01150461,51.53254057,241,268.22
368,-0.011553686,51.53257617,237,219.53
369,-0.011612803,51.53262262,241,265.89
370,-0.011663256,51.53265666,252,306.67
371,-0.01170015,51.532704,254,357.52
372,-0.011724661,51.53275669,198,13.09
373,-0.01174035,51.53280382,241,284.59
374,-0.011760039,51.53285082,260,399.25
375,-0.011798977,51.53289499,253,347.16
376,-0.011834394,51.5329373,249,327.99
377,-0.011882411,51.53297389,240,259.05
378,-0.011922364,51.53301215,247,284.93
379,-0.011967456,51.533053,250,341
380,-0.0119988,51.53310461,260,395.63
381,-0.012021377,51.5331509,246,318.96
382,-0.012048911,51.53319394,260,394.28
383,-0.012088384,51.53324201,260,398.11
384,-0.012132741,51.53328177,260,388.78
385,-0.012181959,51.53331656,247,293.64
386,-0.012226652,51.53336475,199,51.26
387,-0.012266471,51.53340232,245,279.02
388,-0.012317329,51.53344926,252,328.22
389,-0.012366642,51.53348636,238,273.74
390,-0.012410988,51.53352403,259,385.16
391,-0.01246181,51.53356772,255,357.01
392,-0.012505533,51.53361505,253,328.3
393,-0.012543129,51.53365465,238,260.72
394,-0.012588866,51.53369793,251,330.17
395,-0.012636719,51.5337324,252,321.75
396,-0.012715646,51.53377008,242,263.42
397,-0.01278958,51.53379124,260,373.66
398,-0.012861128,51.53378311,259,341.5
399,-0.012934436,51.53378156,248,310.62
400,-0.013007263,51.53377737,252,316.43
401,-0.013078917,51.5337561,245,306.22
402,-0.013148241,51.53372721,243,284.47
403,-0.013197792,51.53369253,260,392.65
404,-0.013268377,51.53365956,250,298.61
405,-0.01333778,51.53362197,243,279.32
406,-0.013390947,51.53358887,236,264.15
407,-0.013455814,51.53355093,247,296.7
408,-0.013519514,51.53351798,254,319.54
409,-0.013574442,51.5334876,256,370.53
410,-0.01364085,51.53345034,246,314.37
411,-0.013707388,51.53341366,222,161.73
412,-0.013762449,51.53338303,256,374.21
413,-0.013816536,51.53334778,192,14.31
414,-0.013874449,51.5333143,260,376.25
415,-0.0139393,51.53327532,257,353.67
416,-0.013994832,51.53323813,209,108.41
417,-0.014052633,51.53320147,260,375.19
418,-0.014106599,51.53317143,258,378.39
419,-0.014162769,51.5331361,249,322.82
420,-0.014227586,51.53310347,240,261.93
421,-0.014287055,51.5330731,228,185.25
422,-0.014347173,51.53303486,246,289.04
423,-0.014400689,51.53299362,238,264.94
424,-0.014454299,51.53295704,260,369.73
425,-0.014510577,51.53292481,258,358.45
426,-0.014571267,51.53289546,252,338.82
427,-0.014630622,51.53286821,260,386.25
428,-0.014683835,51.53283718,260,396.86
429,-0.014753138,51.5328028,241,268.95
430,-0.014831553,51.53278237,245,288.24
431,-0.01489884,51.53276321,253,334.49
432,-0.014988288,51.53274771,247,320.57
433,-0.015061835,51.53273687,247,313.84
434,-0.015143093,51.53272712,248,325.43
435,-0.015225599,51.53271283,260,360.45
436,-0.015296948,51.53269956,254,353.24
437,-0.015365227,51.53268166,260,398.59
438,-0.015443077,51.53266057,195,2.67
439,-0.015506998,51.53263674,253,348.11
440,-0.015576799,51.5326055,253,325.34
441,-0.015640887,51.53257499,243,281.62
442,-0.015702285,51.53254197,260,362.5
443,-0.015753699,51.53250517,260,359.59
444,-0.015811623,51.53246819,259,362.74
445,-0.01586248,51.53243194,260,393.12
446,-0.015923252,51.53239126,239,262.67
447,-0.015974702,51.53234801,197,9.49
448,-0.016028405,51.53230827,244,258.56
449,-0.016070777,51.53225911,260,384.53
450,-0.016097833,51.53220705,260,364.78
451,-0.016100071,51.53215846,260,364.11
452,-0.016103814,51.53211321,250,338.04
453,-0.016090252,51.53206188,244,300.64
454,-0.016056263,51.532018,244,293.51
455,-0.016028468,51.53197471,260,357.02
456,-0.015998828,51.53193167,252,344.4
457,-0.015965596,51.53188641,240,278.66
458,-0.01590925,51.53184528,260,375.77
459,-0.015839342,51.5318144,240,283.26
460,-0.01577595,51.53178709,260,384.47
461,-0.015718758,51.53175653,260,378.49
462,-0.01565779,51.53172474,260,341.59
463,-0.015586362,51.53169209,254,357.56
464,-0.015514862,51.53165805,242,287.19
465,-0.015446889,51.53162882,243,301.25
466,-0.015380303,51.53159799,248,309.34
467,-0.015321614,51.53157014,241,289.43
468,-0.015252881,51.53154011,260,385.97
469,-0.015194898,51.53151181,244,257.6
470,-0.015127296,51.53147767,259,352.7
471,-0.015064354,51.53145041,249,303.54
472,-0.014997813,51.53142701,243,262.68
473,-0.014928166,51.53140161,205,65.6
474,-0.014855244,51.53137365,247,302.58
475,-0.014789032,51.53134551,253,347.09
476,-0.014760207,51.5313001,247,325.87
477,-0.014676746,51.53127655,245,304.89
478,-0.014601083,51.53126489,248,313.58
479,-0.014526099,51.53125859,258,344.13
480,-0.014448752,51.53123637,246,293.32
481,-0.014386914,51.53120955,260,380.59
482,-0.014317286,51.53118047,241,259.21
483,-0.014257324,51.53115158,253,319.85
484,-0.014191645,51.53113214,251,311.14
485,-0.014127049,51.53110999,248,301.64
486,-0.014044564,51.53109272,255,334.54
487,-0.013970884,51.53107885,260,391.87
488,-0.013886233,51.53107426,255,322.25
489,-0.01381335,51.53106986,260,388.5
490,-0.013736716,51.53105844,247,324.34
491,-0.013665501,51.53104134,260,398.02
492,-0.013594816,51.53102617,243,302.12
493,-0.013510436,51.53100419,243,258.02
494,-0.013442816,51.53097786,253,310.45
495,-0.013380162,51.53095027,235,259.35
496,-0.013319038,51.53091462,254,352.27
497,-0.013258562,51.53087931,248,305.8
498,-0.013220388,51.53083238,237,269.99
499,-0.013194654,51.53078872,260,380.39
500,-0.013139414,51.53074655,255,349.11
501,-0.013090603,51.53070863,252,330.83
502,-0.013052433,51.53066965,243,300.81
503,-0.012998103,51.53063314,244,277.75
504,-0.012954928,51.53059146,244,289.87
505,-0.012969436,51.53054578,249,310.45
506,-0.012967246,51.53049634,260,350.28
507,-0.01291606,51.53045136,246,317.45
508,-0.012845113,51.53043794,260,399.17
509,-0.012903482,51.53040635,260,343.9
510,-0.012983678,51.53039451,259,367.01
511,-0.013050231,51.53036617,260,383.54
512,-0.013087919,51.53032458,259,351.91
513,-0.01314867,51.53029719,260,350.79
514,-0.013205567,51.53025863,246,295.49
515,-0.013254731,51.53022407,258,340.77
516,-0.013302403,51.53018143,240,282.23
517,-0.013353734,51.53014513,260,377.66
518,-0.013421476,51.53012242,247,290.14
519,-0.013491605,51.53009641,252,302.79
520,-0.01357212,51.53008991,253,323.75
521,-0.013656252,51.53007813,260,375.04
522,-0.013737205,51.53006312,254,361.84
523,-0.013791238,51.53002936,241,267.52
524,-0.013746001,51.52997686,247,289.64
525,-0.01370212,51.52990892,237,266.07
526,-0.013680516,51.52986374,241,275.74
527,-0.013657745,51.52981912,249,316.44
528,-0.013606652,51.52977968,256,366.09
529,-0.013555489,51.52974157,257,378.24
530,-0.013509408,51.5296951,235,258.71
531,-0.013471065,51.5296499,260,369.49
532,-0.013430182,51.529606,260,377.37
533,-0.013401416,51.52955473,260,350.28
534,-0.013349777,51.52951451,236,263.3
535,-0.013298301,51.52947813,260,387.86
536,-0.013243065,51.52944341,258,374.41
537,-0.013194249,51.52940964,260,393.5
538,-0.013126619,51.52936914,236,259.64
539,-0.013072271,51.52933113,254,330.78
540,-0.013006233,51.5292956,258,383.77
541,-0.012949995,51.52926484,257,331.28
542,-0.012904798,51.52922666,244,296.77
543,-0.012851425,51.52918502,257,349.73
544,-0.012800439,51.52914181,260,354.79
545,-0.012749251,51.52910643,260,398.76
546,-0.012694792,51.52906461,260,379.73
547,-0.012648516,51.52902761,245,282.6
548,-0.012587207,51.52898569,249,331.2
549,-0.012536734,51.52893856,245,269.82
550,-0.01249498,51.52889353,260,366.98
551,-0.012454799,51.52884286,260,365.52
552,-0.012402082,51.52881131,243,266.34
553,-0.012357442,51.52876742,244,275.94
554,-0.01229305,51.52873288,245,293.53
555,-0.012242582,51.52870029,249,288.54
556,-0.012188427,51.52866635,244,260.71
557,-0.01212212,51.52863106,260,386.1
558,-0.012069396,51.52859776,244,288.53
559,-0.012004854,51.52856168,245,266.32
560,-0.011952968,51.52852792,258,348.96
561,-0.011904286,51.5284799,249,308.98
562,-0.011855726,51.52843685,252,318.85
563,-0.01180992,51.52839672,260,344.94
564,-0.011761092,51.52835034,248,309.56
565,-0.011712237,51.52830401,253,318.11
566,-0.011665965,51.52826087,247,302.01
567,-0.01162944,51.52821871,260,368.37
568,-0.011576966,51.52818392,243,261.96
569,-0.011534179,51.52814501,260,381.98
570,-0.011495328,51.52810675,244,286.66
571,-0.011450856,51.52806441,260,365.1
572,-0.011396167,51.52802521,250,301.58
573,-0.011345307,51.52798808,242,264.52
574,-0.011290387,51.52794359,239,285.25
575,-0.01124328,51.52790606,243,300.02
576,-0.011206539,51.52786119,257,326.28
577,-0.011153753,51.52781564,238,265.59
578,-0.011100311,51.52777054,260,367.38
579,-0.011072578,51.52772422,254,316.51
580,-0.010998686,51.52773183,244,294.01
581,-0.010926772,51.52775335,255,367.02
582,-0.010856593,51.52777045,251,313.27
583,-0.010794036,51.52779299,244,262.75
584,-0.010738423,51.52782641,249,348.44
585,-0.010691621,51.52786225,256,362.41
586,-0.010634178,51.52788997,247,351.83
587,-0.010547525,51.52789511,244,296.96
588,-0.010474119,51.52790602,247,327.36
589,-0.010409812,51.52793476,251,325.76
590,-0.010356262,51.52797488,260,384.88
591,-0.010288424,51.52801018,260,397.78
592,-0.010227646,51.5280404,247,314.11
593,-0.010166139,51.52806768,255,378.32
594,-0.010094958,51.52808854,247,310.97
595,-0.010033853,51.52811418,245,330.55
596,-0.009955074,51.52809923,235,267.48
597,-0.009895408,51.52806128,242,324.04
598,-0.00982211,51.52803143,258,391.2
599,-0.009750688,51.52800109,258,398.93
600,-0.009674825,51.52797527,245,333.12
601,-0.009607892,51.52794412,253,358.77
602,-0.00954294,51.52791934,237,274.68
603,-0.009487883,51.52788453,251,330.74
604,-0.009431366,51.5278507,247,315.25
605,-0.009366371,51.52782306,250,356.32
606,-0.009297498,51.52779304,259,385.34
607,-0.009236302,51.52776228,244,336.06
608,-0.009165889,51.52772766,251,347.24
609,-0.009101419,51.52769766,245,302.21
610,-0.009042013,51.52767062,244,340.24
611,-0.00898711,51.52763937,241,294.53
612,-0.008920462,51.5276017,253,344.7
613,-0.00886216,51.52756515,206,131.67
614,-0.008809126,51.52752974,241,300.75
615,-0.008762624,51.52749115,236,297.68
616,-0.008736929,51.527449,253,374.48
617,-0.008703493,51.52740455,242,314.05
618,-0.008658902,51.52735819,253,379.52
619,-0.008610416,51.52732159,239,269.3
620,-0.008570052,51.52728162,234,273.16
621,-0.008589936,51.52723345,257,361.81
622,-0.008607516,51.52718686,250,356.47
623,-0.00861449,51.52713868,260,395.4
624,-0.008677693,51.52710784,229,258.12
625,-0.008746774,51.52707907,241,279.41
626,-0.008742007,51.52703264,252,344.41
627,-0.008703168,51.52698967,247,345.8
628,-0.008659594,51.52695053,250,347.91
629,-0.008629403,51.52690932,242,282.51
630,-0.008589927,51.5268639,236,269.89
631,-0.008553906,51.52681677,231,227.06
632,-0.008511779,51.52677072,255,380.13
633,-0.008491366,51.52671602,260,399.89
634,-0.008410361,51.52670549,235,259.65
635,-0.008317969,51.52669855,245,317.37
636,-0.008257163,51.52667046,238,282.38
637,-0.008206927,51.52663335,239,296.28
638,-0.008155438,51.5265931,256,390.77
639,-0.008104577,51.52655622,250,325.82
640,-0.008065216,51.52651819,254,362.43
641,-0.008007707,51.52648578,255,375.68
642,-0.007958205,51.52644042,249,332.19
643,-0.007906856,51.52639662,248,336.4
644,-0.007870554,51.52635138,247,349.27
645,-0.007914189,51.5263153,185,8.59
646,-0.007983379,51.52628794,256,371.98
647,-0.008050889,51.5262616,248,356.19
648,-0.008117116,51.52623148,240,274.67
649,-0.008185767,51.5261974,250,356.94
650,-0.008253637,51.52617329,237,288.39
651,-0.008326707,51.5261517,236,281.01
652,-0.008390251,51.52612645,256,396.47
653,-0.008456235,51.52610671,253,377.82
654,-0.008530034,51.52608491,254,372.78
655,-0.008596492,51.5260562,235,259.96
656,-0.008663172,51.52602865,256,368.76
657,-0.00873081,51.5260077,237,269.45
658,-0.008800768,51.52598842,250,333.34
659,-0.008878511,51.52596867,251,372.61
660,-0.008955138,51.52595373,233,259.77
661,-0.008965327,51.526002,253,382.19
662,-0.008993075,51.52604564,256,377.18
663,-0.009014405,51.52609091,236,276.2
664,-0.009024559,51.5261366,245,339.04
665,-0.009020816,51.52618976,236,274.68
666,-0.009009235,51.52623528,246,325.93
