Latitude,Longitude
41.411819,2.174241
41.411925,2.17428
41.411941,2.17445
41.411788,2.174316
41.411872,2.174341
41.412102,2.174775
41.411975,2.175061
41.411608,2.174636
41.412041,2.174988
41.411463,2.174422
41.387508,2.175297
41.411461,2.174425
41.415802,2.174216
41.415597,2.173827
41.415597,2.173827
41.415883,2.174516
41.415591,2.173813
41.415591,2.173813
41.415591,2.173813
41.387494,2.174966
41.387536,2.175291
41.387508,2.175441
41.387508,2.175108
41.387505,2.175444
41.387488,2.175297
41.387525,2.175119
41.387505,2.175402
41.387525,2.175375
41.387505,2.175466
41.387505,2.175266
41.387525,2.175375
41.387525,2.175341
41.387505,2.175266
41.387511,2.175283
41.38753,2.175261
41.38753,2.175261
41.387536,2.1753
41.38753,2.175216
41.387511,2.175158
41.387527,2.175244
41.387561,2.175188
41.387527,2.17533
41.387505,2.175388
41.387525,2.175325
41.387527,2.17533
41.387527,2.17533
41.387541,2.175413
41.387447,2.175488
41.387525,2.175325
41.387363,2.175469
41.387386,2.175449
41.387416,2.175419
41.38745,2.175575
41.387508,2.175513
41.3875,2.175547
41.387566,2.175519
41.387527,2.175536
41.387525,2.17553
41.3875,2.175527
41.387438,2.175586
41.387458,2.175622
41.387505,2.175566
41.387444,2.175602
41.387466,2.175488
41.387475,2.175516
41.387408,2.175122
41.387486,2.175658
41.38748,2.175397
41.387413,2.175144
41.387444,2.175111
41.387455,2.1751
41.387488,2.175044
41.387477,2.175111
41.387555,2.175294
41.387536,2.175247
41.387836,2.175205
